ID,target
000137c73,1852441.1
00021489f,1941895.4
0004d7953,1941895.4
00056a333,2790972.0
00056d8eb,1941895.4
0005fc190,1941895.4
000787e86,1941895.4
0008510a0,1941895.4
000895faf,1941895.4
000986fba,1859562.0
0009efcc5,1941895.4
000dd8f00,1941895.4
000e1cdc2,1941895.4
00103739c,1941895.4
00134b367,1941895.4
001788d0d,1638943.0
0019c8ad7,1941895.4
001a267b9,1465713.0
001a85486,1941895.4
001c4de06,1777290.5
001f9014b,1941895.4
00216fb94,1941895.4
00235690e,1941895.4
00240739d,1941895.4
0024c3747,1941895.4
00297052d,1941895.4
002ab8f85,1941895.4
002bed5c0,1941895.4
002bf3974,5964293.0
002d23a26,1465713.0
002f27de9,1523477.0
0030d8bb4,1352729.5
003146acd,1941895.4
003223263,1689777.4
00335575e,1934394.8
00337cf9d,2016669.1
003394397,1941895.4
0036358a3,1941895.4
003770d30,1941895.4
003bed5ea,1941895.4
003ea6427,1941895.4
003ef8132,1941895.4
003fd1723,1708352.9
0041861b4,1941895.4
0042b718b,1941895.4
004381d8f,1941895.4
0043ca764,1750051.6
004486837,1941895.4
0045c123e,1941895.4
0048915c6,1941895.4
004ab9a09,3694022.2
004b2e1c9,13516943.0
004c54732,1411911.5
004cdefce,1941895.4
004dd971b,3349738.2
004f9329b,1941895.4
004fd2bca,1935531.5
0054bfedb,1941895.4
0054ec58a,1941895.4
00551f45d,7524115.0
005777b4c,1941895.4
00578d6ea,1941895.4
005802488,1941895.4
0059833b6,2390331.5
005a70085,1590895.1
005b148a0,1941895.4
005c28df4,3349738.2
005f8dc26,2837614.8
00603c202,1941895.4
006049609,1941895.4
00612f47e,1941895.4
00647a57f,1941895.4
0065853ee,1941895.4
006589d5e,1941895.4
006598823,1503489.5
0065c093c,3137274.0
006738351,903329.1
006a0c6a8,2670572.8
006e9efe6,1590895.1
006f029d3,1941895.4
0070f35a2,616672.6
007135f85,1941895.4
007285433,1941895.4
00735e101,1627984.0
0074ecf4e,1941895.4
007635fa9,1941895.4
007723613,1941895.4
007867da9,1941895.4
0078bfbd6,1941895.4
0078ce229,1941895.4
007a89d50,1941895.4
007d43dfa,2840585.0
007ee9e05,2364295.5
007ffeae2,1941895.4
00835c85c,1941895.4
0084b08f1,1941895.4
0087fb290,1941895.4
0088a96bd,1941895.4
008ac4292,1941895.4
008d8cca8,1941895.4
008e07b8c,1941895.4
008e5e25a,729025.25
0094edcdb,4914930.0
00950141c,1941895.4
009566ef1,3349738.2
0095c81d4,1941895.4
0097a6ed4,1941895.4
0098fef9a,2030101.4
009b321ec,1941895.4
009cd681e,1941895.4
009f34f86,1941895.4
009f35cd3,1941895.4
009f65109,4723253.5
00a19014a,1941895.4
00a27e76a,1398449.0
00a3b6ef7,1941895.4
00a427603,1941895.4
00a6dc8be,1941895.4
00a811734,3349738.2
00a8f58a7,1941895.4
00aaae151,1941895.4
00ab17f67,1941895.4
00ac2d3a5,1941895.4
00adab1b6,1941895.4
00aef0d56,1941895.4
00b0b06c4,1941895.4
00b0e2303,1941895.4
00b1fbbc9,1465713.0
00b43e0c1,1941895.4
00b7190a8,1941895.4
00b722e1b,1941895.4
00bba815f,2303385.2
00bbb1c42,1941895.4
00bc2b665,1941895.4
00bc35689,1941895.4
00be23f52,3349738.2
00be24ac5,1391719.6
00bfd0f70,1941895.4
00c02f73e,1941895.4
00c08e5b3,1425445.0
00c8690ff,2684865.5
00c8df4d5,1941895.4
00c8e30de,1941895.4
00ca3fb04,1627467.0
00cabf621,1941895.4
00cb48ae3,1477941.5
00cb6b147,2283162.0
00cc91a22,1941895.4
00cd65e9d,1727032.2
00cd7d6a8,1941895.4
00cdc1483,1941895.4
00ce9bea5,2095486.8
00cea0091,2670572.8
00cea68c6,1941895.4
00d5a5975,1941895.4
00d80a3a4,1941895.4
00d9f3864,1941895.4
00da4bd31,846953.0
00df4dd77,1941895.4
00e1a55bf,1941895.4
00e332971,1941895.4
00e5b6b1b,1941895.4
00e85d5e3,1941895.4
00e90abfa,1941895.4
00e9708b4,1941895.4
00e9c680f,8477560.0
00eaa4394,1941895.4
00eae8832,1510905.0
00ebefdc0,1941895.4
00ecbcb1b,2046675.5
00ed49382,11444777.0
00ed87564,1941895.4
00ef96cfd,359522.84
00efe7ca3,1941895.4
00f36aa18,1941895.4
00f3fb071,1710867.0
00f43f548,2055762.0
00f4d58ec,1941895.4
00f56e106,1941895.4
00f84d8c2,2150519.8
00f92953b,1941895.4
00fa1d469,1941895.4
00ff96f49,1750051.6
0100ce0d8,1941895.4
0102ea9e1,1564948.0
0104b3af3,1941895.4
010672441,1941895.4
010771ca5,1941895.4
0108aea9f,1941895.4
010a479e1,1181781.5
010d0a2dd,4723253.5
010e3cea2,2122182.2
010e5417b,201603.03
01108a561,1941895.4
0110cca98,1471483.4
011449698,1941895.4
0114795f0,2911580.0
011626c20,7524115.0
0117c8f27,1628423.4
0117dcb47,729554.5
0118c34be,1941895.4
0119efcb9,1941895.4
011a58e13,1941895.4
011b7902b,4282448.5
011ca122e,4914930.0
012053244,2303385.2
0122a258e,1941895.4
0122a4305,1941895.4
01230d8ba,1941895.4
012414f4e,1941895.4
012452125,2046675.5
0124529b5,1941895.4
012556288,3349738.2
01257c24c,1941895.4
01258b972,1941895.4
0125b64db,1941895.4
01295ef92,1941895.4
012a2752f,1739240.1
012b6ba95,3694022.2
012b96b58,2122182.2
012e881b9,1941895.4
012f25e94,1750505.6
012fa70bb,2670572.8
01304fc0a,1941895.4
013230913,5964293.0
01336ceb8,1941895.4
0133b85e7,1941895.4
0136f8766,1941895.4
0137356b9,1941895.4
013750184,1941895.4
013a3f07c,1941895.4
013cc1c13,1941895.4
013e96334,359522.84
013fae0b1,1941895.4
014076343,1941895.4
0140ea0ba,1941895.4
0143ee127,1941895.4
014461014,1499177.0
01446634f,1941895.4
014729fb2,3349738.2
014749c88,1398449.0
014787fc1,1941895.4
014a6143c,1941895.4
014af25cd,1430902.6
014b5797e,1941895.4
014badcb1,1597321.2
014c523b1,1941895.4
014e55fdb,1941895.4
014ea0456,1941895.4
0151cc525,1941895.4
015409983,1941895.4
015411bfe,1941895.4
01560b792,350158.06
0157b07da,1941895.4
01587bbbc,1941895.4
0158ba234,2840585.0
01590d52a,4063207.5
015a40790,3422418.8
015b07817,1284241.4
015fc3313,1941895.4
01604ee4b,1941895.4
016054375,1941895.4
01642dec0,1509888.0
0166ab5ea,1941895.4
016b405be,1941895.4
016bdc940,1941895.4
016c31d1a,1941895.4
016d290da,1941895.4
016decdd2,2823289.5
016ee1214,1941895.4
016efef23,1941895.4
016f60448,1941895.4
017029678,1941895.4
01704d4ca,2684865.5
0172638ce,1837531.1
0173e6be5,1941895.4
0174ed320,2670572.8
017623c5c,1941895.4
017a4044f,1941895.4
017a6c7f9,1941895.4
